Assertion	Heuristic	Prediction	Actual
(profession ArthurFBurns (InstanceNamedFn-Ternary "U.S. ambassador" PersonTypeByOccupation "42d5e1e8-17ad-41d9-894b-b66c5ddcfc8b"))	InfoRelaMine	1	-1
(isa BrianFlemming UnitedStatesPerson)	FirsSentParsMine	1	-1
(isa AirMass-Astronomy (HistoryFn Astronomy))	CateMembMine	0	-1
(deathPlace PrincessJohannaOfHesseAndByRhine (TerritoryFn Germany))	InfoRelaMine	1	-1
(genls RockwoodTennessee Town)	CateMembMine	0	-1
(isa Ester FunctionalGroup-Molecular)	CateMembMine	0	-1
(genls PeterPek GraphicArtist)	CateMembMine	0	-1
(country CodeOfVengeance UnitedStatesAndWeaponsOfMassDestruction)	InfoRelaMine	1	-1
(genls SalMaccarone ManufacturingCompany)	FirsSentParsMine	0	-1
(birthPlace NabilElderkin UnitedStatesAtThe2004SummerOlympics)	InfoRelaMine	1	-1
(isa MagicWand HeterosexualHuman)	FirsSentParsMine	0	-1
(genls VanNuysLosAngeles Neighborhood)	CateMembMine	0	-1
(populationTotal VanNuysLosAngeles (YearFn '443))	InfoRelaMine	1	-1
(country ArthurFBurns GermanyInTheEurovisionSongContest)	InfoRelaMine	1	-1
(name PeterPek PeterPek)	InfoRelaMine	1	-1
(isa BankOfCreditAndCommerceInternational CorporateCrime)	CateMembMine	0	1
(language CodeOfVengeance PoetLaureateOfTheUnitedKingdom)	InfoRelaMine	1	-1
(series Doom-TheGame Doom-TheGame)	InfoRelaMine	1	-1
(genls PrincessJohannaOfHesseAndByRhine GermanNobility)	CateMembMine	0	-1
(populationTotal RockwoodTennessee '5562)	DBPediAligMine	1	-1
(isa PeterPek Branding-MarkingOnASurface)	FirsSentParsMine	0	-1
(isa PeterPek Celebrity)	FirsSentParsMine	1	1
(birthPlace SalMaccarone (CountyNamedFn "Lawrence" Pennsylvania-State))	InfoRelaMine	1	-1
(computingMedia Doom-TheGame OnlineDistribution)	DBPediAligMine	1	-1
(isa VanNuysLosAngeles CommunitiesRegionsAndLanguageAreasOfBelgium)	CateMembMine	1	-1
(postalCode VanNuysLosAngeles (YearFn '91406))	InfoRelaMine	1	-1
(genls AirMass-Astronomy ObservationalAstronomy)	CateMembMine	1	1
(deathPlace ArthurFBurns Maryland-State)	InfoRelaMine	1	-1
(areaLand RockwoodTennessee '2.04609E7)	DBPediAligMine	1	-1
(isa CodeOfVengeance UmbrellaTitle)	FirsSentParsMine	0	0
(location BankOfCreditAndCommerceInternational RomanLondon)	InfoRelaMine	1	-1
(genls PeterPek AudioSpeaker)	FirsSentParsMine	0	-1
(country ArthurFBurns EconomyOfGermany)	InfoRelaMine	1	-1
(birthDate ArthurFBurns (DayFn '27 (MonthFn August (YearFn '1904))))	InfoRelaMine	1	-1
(objectFoundInLocation BankOfCreditAndCommerceInternational Luxembourg)	DBPediAligMine	0	-1
(country RockwoodTennessee UnitedStatesOfAmerica)	DBPediAligMine	1	-1
(isa PeterPek Writer)	FirsSentParsMine	1	1
(staff YsgolBrynAlyn '50)	InfoRelaMine	1	-1
(location BankOfCreditAndCommerceInternational LondonKentucky)	InfoRelaMine	1	-1
(genls VanNuysLosAngeles AssigningAgentToRole)	CateMembMine	0	-1
(genls Doom-TheGame ComputerGameProgram)	FirsSentParsMine	0	-1
(genls SalMaccarone Artist)	CateMembMine	0	-1
(isa GordonACraig Graduate)	CateMembMine	1	1
(isa SocialCriticism AccidentallyLeavingSomethingSomewhere)	CateMembMine	0	-1
(isa NabilElderkin Director-Movie)	FirsSentParsMine	1	1
(religion YsgolBrynAlyn None-SiteOfCoronaryArteryObstruction)	InfoRelaMine	1	-1
(country CodeOfVengeance UniformedServicesOfTheUnitedStates)	InfoRelaMine	1	-1
(postalCode VanNuysLosAngeles (YearFn '91411))	InfoRelaMine	1	-1
(isa SalMaccarone SeminarSeries)	FirsSentParsMine	0	0
(genls Armageddon-2007 WrestlingSportsEvent)	CateMembMine	0	-1
(designer Doom-TheGame AmericanMcGee-Person)	DBPediAligMine	1	-1
(name Armageddon-2007 Armageddon-2007)	InfoRelaMine	1	-1
(isa NabilElderkin Professional)	FirsSentParsMine	1	-1
(isa SalMaccarone Lecturer)	FirsSentParsMine	1	-1
(birthPlace PrincessJohannaOfHesseAndByRhine GermanyInTheEurovisionSongContest)	InfoRelaMine	1	-1
(country YsgolBrynAlyn RugbyUnionInWales)	InfoRelaMine	1	-1
(genls Asteroid-impactAvoidance ProtectingSomething)	FirsSentParsMine	0	-1
(isa JamesHolborneOfMenstrie Soldier)	FirsSentParsMine	1	-1
(language CodeOfVengeance EthnicGroupOfEnglish)	InfoRelaMine	1	-1
(isa BrianFlemming DirectorOfOrganization)	CateMembMine	1	-1
(isa Asteroid-impactAvoidance DefenseAttorney)	FirsSentParsMine	0	-1
(starring CodeOfVengeance CharlesTaylor)	InfoRelaMine	1	-1
(postalCode VanNuysLosAngeles (YearFn '91409))	InfoRelaMine	1	-1
(isa SocialCriticism CulturalStudies)	CateMembMine	0	-1
(industry BankOfCreditAndCommerceInternational BankOrganization)	InfoRelaMine	1	-1
(nextEvent Armageddon-2007 WWEArmageddon)	InfoRelaMine	1	-1
(genls PeterPek Branding-MarkingOnASurface)	FirsSentParsMine	0	-1
(utcOffset RockwoodTennessee (YearFn '5))	InfoRelaMine	1	-1
(country CodeOfVengeance LawSchoolInTheUnitedStates)	InfoRelaMine	1	-1
(genls Doom-TheGame Landmark)	FirsSentParsMine	0	-1
(isa SalMaccarone Animal)	null	1	-1
(genls EthanolFermentation Sugar)	FirsSentParsMine	0	1
(isa Doom-TheGame ControversialAction)	CateMembMine	0	-1
(isa Doom-TheGame First-personShooter)	FirsSentParsMine	0	0
(genls SalMaccarone Sculptor)	FirsSentParsMine	0	-1
(isa PeterPek CorporateBond-Agreement)	FirsSentParsMine	0	-1
(isa BankOfCreditAndCommerceInternational PrivatelyHeldCorporation)	DBPediAligMine	0	-1
(timeZone VanNuysLosAngeles TimeInThePhilippines)	InfoRelaMine	1	-1
(genls Tongue-twister WordGame)	CateMembMine	0	0
(isa RockwoodTennessee Town)	CateMembMine	1	-1
(genls SocialCriticism SocialScienceType)	CateMembMine	0	-1
(isa MagicWand SkinnyPhysicalBuild)	FirsSentParsMine	0	-1
(country CodeOfVengeance PoliticsOfTheUnitedStates)	InfoRelaMine	1	-1
(isa PeterPek Author)	FirsSentParsMine	1	-1
(genls MagicWand Shaft)	FirsSentParsMine	0	-1
(deathDate ArthurFBurns (DayFn '6 (MonthFn June TheYear-Indexical)))	InfoRelaMine	1	-1
(title Doom-TheGame Doom-Film)	InfoRelaMine	1	-1
(genls GaloisModule (CBLGroupFn (CBLMethodFn CBLNode-CycorpRefrigeratorMassEMailSending "cycorpRefrigeratorMassEmailSending_task") False))	FirsSentParsMine	1	-1
(occupation NabilElderkin Director-Movie)	InfoRelaMine	1	-1
(postalCode VanNuysLosAngeles '91409)	InfoRelaMine	1	-1
(areaTotal RockwoodTennessee '2.04609E7)	DBPediAligMine	1	-1
(isa SocialCriticism SocialScienceType)	CateMembMine	0	-1
(genls SalMaccarone UnitedStatesPerson)	FirsSentParsMine	0	-1
(genls NabilElderkin (SubcollectionOfWithRelationFromTypeFn Person boardMembers Organization))	FirsSentParsMine	0	-1
(isa GaloisModule KurganHypothesis)	CateMembMine	0	-1
(genre Doom-TheGame First-personShooter)	DBPediAligMine	1	-1
(isa MagicWand Insignia)	CateMembMine	0	-1
(isa Doom-TheGame FranchiseContract)	CateMembMine	1	-1
(isa Asteroid-impactAvoidance MethodType)	FirsSentParsMine	0	-1
(birthPlace SalMaccarone (CountyNamedFn "Lawrence" Mississippi-State))	InfoRelaMine	1	-1
(isa TrenchRailways Railway)	CateMembMine	0	-1
(isa GordonACraig Historian)	CateMembMine	1	1
(father PrincessJohannaOfHesseAndByRhine GeorgDonatusHereditaryGrandDukeOfHesse)	InfoRelaMine	1	1
(isa EthanolFermentation BiologicalProcess)	FirsSentParsMine	0	-1
(developer Doom-TheGame IDSoftwareInc)	InfoRelaMine	1	-1
(genls PrincessJohannaOfHesseAndByRhine Nobility)	CateMembMine	0	-1
(genls NabilElderkin MusicVideo)	FirsSentParsMine	0	-1
(neuroLex:Property-3AIs_part_of VanNuysLosAngeles CityOfLosAngelesCA)	DBPediAligMine	1	-1
(genls Jackhammer PneumaticTool)	FirsSentParsMine	0	0
(industry BankOfCreditAndCommerceInternational BankingIndustry)	InfoRelaMine	1	-1
(event Armageddon-2007 WWEArmageddon)	InfoRelaMine	1	-1
(country CodeOfVengeance UnitedStatesAtThe2004SummerOlympics)	InfoRelaMine	1	-1
(language CodeOfVengeance EnglishPerson)	InfoRelaMine	1	-1
(title Doom-TheGame Doom-TheGameSeries)	InfoRelaMine	1	-1
(genls NabilElderkin Professional)	FirsSentParsMine	0	-1
(country CodeOfVengeance UnitedStatesAtThe2010WinterOlympics)	InfoRelaMine	1	-1
(utcOffset RockwoodTennessee '-4)	DBPediAligMine	1	-1
(postalCode VanNuysLosAngeles (YearFn '91401))	InfoRelaMine	1	-1
(genls CodeOfVengeance BroadcastSeriesProduct)	CateMembMine	0	-1
(genls MagicWand Baton-Musical)	FirsSentParsMine	0	-1
(channel CodeOfVengeance NeoGeoBattleColiseum)	InfoRelaMine	1	-1
(isa PeterPek Publisher-Occupation)	CateMembMine	1	-1
(genls Doom-TheGame Franchise)	CateMembMine	0	-1
(localAuthority YsgolBrynAlyn WrexhamCountyBorough)	DBPediAligMine	1	-1
(isa Jackhammer (MakingAvailableFn Tool))	FirsSentParsMine	0	-1
(numberOfSeasons CodeOfVengeance '1)	DBPediAligMine	1	-1
(genls SalMaccarone FurniturePiece)	FirsSentParsMine	0	-1
(isa Tongue-twister ComputerGameProgram)	CateMembMine	0	-1
(publisher Doom-TheGame OceanSoftware)	DBPediAligMine	1	-1
(isa Armageddon-2007 Professional)	FirsSentParsMine	0	1
(genls SalMaccarone SeminarSeries)	FirsSentParsMine	0	-1
(genls SocialCriticism Discrimination-ObtainingAndStoringKnowledge)	CateMembMine	1	-1
(genls GaloisModule KurganHypothesis)	CateMembMine	0	-1
(genls GaloisModule (CBLGroupFn (CBLMethodFn CBLNode-SystemAdministration "ping_task") not))	FirsSentParsMine	1	-1
(genls NabilElderkin VideoRecordedObject)	FirsSentParsMine	0	-1
(isa SalMaccarone Sculpture)	FirsSentParsMine	0	0
(genls EthanolFermentation Fermenting-Cellular)	CateMembMine	1	1
(populationTotal VanNuysLosAngeles '136)	InfoRelaMine	1	-1
(genls MagicWand Diluting)	FirsSentParsMine	0	-1
(postalCode VanNuysLosAngeles '91411)	InfoRelaMine	1	-1
(isa NabilElderkin VideoRecordedObject)	FirsSentParsMine	0	-1
(event Armageddon-2007 Armageddon-2006)	InfoRelaMine	1	-1
(religion YsgolBrynAlyn NoVentricularImpairment-Normal)	InfoRelaMine	1	-1
(isa NabilElderkin VideoCassette)	FirsSentParsMine	0	-1
(populationTotal VanNuysLosAngeles '136443)	InfoRelaMine	1	-1
(genls MagicWand Magic)	CateMembMine	1	-1
(isa Doom-TheGame BigThreeTelevisionNetworks)	CateMembMine	0	-1
(genls PeterPek PublicRelationsActivity)	FirsSentParsMine	0	-1
(genls CodeOfVengeance Series-Botany)	CateMembMine	0	-1
(genls GordonACraig Cross-FixedStructure)	CateMembMine	0	-1
(religion YsgolBrynAlyn CardiacValveRegurgitation_none)	InfoRelaMine	1	-1
(president ArthurFBurns GeraldFord)	InfoRelaMine	0	-1
(isa MagicWand RunicMagic)	CateMembMine	0	-1
(genls SalMaccarone Woodworking)	FirsSentParsMine	0	-1
(country CodeOfVengeance UnitedStatesFederalJudicialDistrict)	InfoRelaMine	1	-1
(timeZone RockwoodTennessee EasternUSATimeZone)	DBPediAligMine	1	-1
(areaCode VanNuysLosAngeles (YearFn '818))	DBPediAligMine	1	-1
(deathPlace ArthurFBurns BaltimoreBlast)	InfoRelaMine	1	-1
(populationTotal VanNuysLosAngeles (YearFn '136443))	DBPediAligMine	1	-1
(almaMater ArthurFBurns ColumbiaUniversity)	InfoRelaMine	1	-1
(industry BankOfCreditAndCommerceInternational MakingABankDeposit)	InfoRelaMine	1	-1
(isa CodeOfVengeance Series-Botany)	CateMembMine	0	-1
(utcOffset VanNuysLosAngeles (YearFn '8))	DBPediAligMine	1	-1
(isa RockwoodTennessee City)	DBPediAligMine	1	1
(isa SalMaccarone Person)	CateMembMine	1	-1
(populationTotal VanNuysLosAngeles (YearFn '136))	InfoRelaMine	1	-1
(isa Jackhammer PneumaticTool)	FirsSentParsMine	0	-1
(country PeterPek Malaysia)	DBPediAligMine	1	-1
(genls InfantrySupportGun ArtilleryGame)	FirsSentParsMine	0	-1
(genls CodeOfVengeance NCAABasketballSeries)	CateMembMine	0	-1
(utcOffset RockwoodTennessee '-5)	InfoRelaMine	1	-1
(genls NabilElderkin EthnicGroupOfAustralians)	CateMembMine	0	-1
(isa PrincessJohannaOfHesseAndByRhine (SubcollectionOfWithRelationFromTypeFn Animal children Animal))	FirsSentParsMine	1	-1
(isa BrianFlemming (FrequentPerformerFn Activism))	CateMembMine	1	-1
(birthDate SalMaccarone (DayFn '11 (MonthFn August (YearFn '1949))))	InfoRelaMine	1	-1
(isa Doom-TheGame OnlineGameProgram)	CateMembMine	1	1
(genls GordonACraig UnitedStatesPerson)	CateMembMine	0	-1
(genls EthanolFermentation Ethanol)	CateMembMine	0	0
(isa TrenchRailways Conveyance)	CateMembMine	0	-1
(isa NabilElderkin VideoCassetteRecording)	FirsSentParsMine	0	-1
(isa GaloisModule (CBLGroupFn (CBLMethodFn CBLNode-CyclistEmailAddressChecking "cyclistEmailAddressChecking_task") arg1Isa))	FirsSentParsMine	0	-1
(isa Ester BuildingCluster)	FirsSentParsMine	0	-1
(isa NabilElderkin MusicVideo)	FirsSentParsMine	0	-1
(date Armageddon-2007 (DayFn '16 (MonthFn December (YearFn '2007))))	InfoRelaMine	1	-1
(staff YsgolBrynAlyn (YearFn '75))	DBPediAligMine	1	-1
(genls PeterPek Journalist)	FirsSentParsMine	0	-1
(utcOffset VanNuysLosAngeles (YearFn '7))	DBPediAligMine	1	-1
(isa NabilElderkin AustralianCitizenOrSubject)	CateMembMine	1	0
(isa BrianFlemming Disapproving-CommunicationAct)	CateMembMine	0	-1
(genls BrianFlemming University)	CateMembMine	0	-1
(genls BankOfCreditAndCommerceInternational CourtCase)	CateMembMine	0	-1
(genls CodeOfVengeance ConvergentSeries)	CateMembMine	0	-1
(genls JamesHolborneOfMenstrie CalendarYear)	CateMembMine	0	-1
(isa InfantrySupportGun Gun)	CateMembMine	0	-1
(postalCode VanNuysLosAngeles '91406)	InfoRelaMine	1	-1
(deathPlace ArthurFBurns CityOfBaltimoreMD)	InfoRelaMine	1	-1
(genls NabilElderkin TakingAPhotograph)	FirsSentParsMine	0	-1
(genls AirMass-Astronomy (SubcollectionOfWithRelationFromTypeFn Distance lengthOfObject SpatialThing))	FirsSentParsMine	0	-1
(populationTotal RockwoodTennessee (YearFn '5562))	DBPediAligMine	1	-1
(publisher Doom-TheGame WMSIndustries)	DBPediAligMine	1	-1
(genre CodeOfVengeance Adventure)	DBPediAligMine	1	-1
(genls BankOfCreditAndCommerceInternational CorporateBond-Agreement)	CateMembMine	0	-1
(createdBy Doom-TheGame IDSoftwareInc)	DBPediAligMine	1	1
(genls MagicWand (PortableFn (DeadPhysicalRemainsFn TreeBranch)))	FirsSentParsMine	0	-1
(genls NabilElderkin (CitizenFn Australia))	CateMembMine	0	-1
(genls BankOfCreditAndCommerceInternational AccountingScandals)	CateMembMine	0	-1
(isa CodeOfVengeance BroadcastSeriesProduct)	CateMembMine	1	-1
(isa BankOfCreditAndCommerceInternational AcademicMajor)	FirsSentParsMine	0	-1
(genls BrianFlemming UnitedStatesPerson)	FirsSentParsMine	0	-1
(genls CodeOfVengeance Testifying)	CateMembMine	0	-1
(upperAge YsgolBrynAlyn (YearFn '11))	DBPediAligMine	1	-1
(genls BrianFlemming Disapproving-CommunicationAct)	CateMembMine	0	-1
(staff YsgolBrynAlyn '75)	DBPediAligMine	1	-1
(genls BankOfCreditAndCommerceInternational CorporateCrime)	CateMembMine	0	-1
(country YsgolBrynAlyn (CityNamedFn "Wales" Alaska-State))	InfoRelaMine	1	-1
(engine Doom-TheGame DoomEngine)	InfoRelaMine	1	-1
(genls CodeOfVengeance LongTitle)	FirsSentParsMine	0	-1
(isa EthanolFermentation Sugar)	FirsSentParsMine	0	-1
(postalCode VanNuysLosAngeles '91401)	InfoRelaMine	1	-1
(isa PeterPek DirectorOfOrganization)	FirsSentParsMine	1	-1
(isa JamesHolborneOfMenstrie CalendarYear)	CateMembMine	0	-1
(birthPlace SalMaccarone LawrenceNassauCountyNewYork)	InfoRelaMine	1	-1
(birthDate ArthurFBurns (YearFn '1904))	InfoRelaMine	1	-1
(genls MagicWand Straight)	FirsSentParsMine	0	-1
(birthPlace NabilElderkin PoliticsOfTheUnitedStates)	InfoRelaMine	1	-1
(isa SalMaccarone Maker)	FirsSentParsMine	1	-1
(genls Jackhammer Tool)	FirsSentParsMine	0	-1
(starring CodeOfVengeance CharlesTaylor-Philosopher)	InfoRelaMine	1	-1
(isa ArthurFBurns Graduate)	CateMembMine	1	1
(publisher Doom-TheGame GTInteractiveSoftwareCorp)	DBPediAligMine	1	1
(isa ArthurFBurns Person)	null	1	-1
(populationTotal VanNuysLosAngeles '443)	InfoRelaMine	1	-1
(genls EthanolFermentation Fermentation-Biochemistry)	CateMembMine	1	-1
(areaLand RockwoodTennessee '2.04E7)	DBPediAligMine	1	-1
(publisher Doom-TheGame ActivisionInc)	DBPediAligMine	1	-1
(isa CodeOfVengeance Testifying)	CateMembMine	0	-1
(isa PeterPek Lecturer)	FirsSentParsMine	1	-1
(office BankOfCreditAndCommerceInternational CityOfKarachiPakistan)	InfoRelaMine	1	-1
(genls GaloisModule GeneralRating)	FirsSentParsMine	1	-1
(isa BankOfCreditAndCommerceInternational Bank-Topographical)	FirsSentParsMine	0	-1
(isa Asteroid-impactAvoidance PartiallyTangible)	FirsSentParsMine	0	-1
(isa PeterPek Radio)	FirsSentParsMine	0	0
(isa CodeOfVengeance UnitedStatesPerson)	CateMembMine	0	-1
(publisher Doom-TheGame IDSoftwareInc)	InfoRelaMine	1	-1
(isa TrenchRailways MilitaryRailways)	CateMembMine	0	-1
(genls YsgolBrynAlyn (CollectionIntersection2Fn Herd (GroupFn Fish)))	CateMembMine	0	-1
(populationTotal RockwoodTennessee (YearFn '5774))	InfoRelaMine	1	-1
(isa BankOfCreditAndCommerceInternational CourtCase)	CateMembMine	0	-1
(isa NabilElderkin VideoConceptualWork)	FirsSentParsMine	0	-1
(isa EthanolFermentation ComputerProcessRunning)	FirsSentParsMine	0	-1
(location BankOfCreditAndCommerceInternational GreaterLondon-EnglandRegion)	InfoRelaMine	1	-1
(isa SocialCriticism PoliticsOfGlobalWarming)	CateMembMine	0	-1
(postalCode VanNuysLosAngeles (YearFn '91405))	InfoRelaMine	1	-1
(genls GordonACraig AcademicProfessional)	CateMembMine	0	-1
(isa GordonACraig (InstanceNamedFn-Ternary "military" SkilledActivityType "de0aca10-b4de-41d9-924b-a9501bdb5562"))	CateMembMine	0	-1
(isa NabilElderkin KVMSwitch)	FirsSentParsMine	0	-1
(genls PeterPek MalaysianPerson)	CateMembMine	0	-1
(isa CodeOfVengeance LongTitle)	FirsSentParsMine	0	-1
(genls PeterPek Strategist)	FirsSentParsMine	0	-1
(isa VanNuysLosAngeles PopulatedPlace)	CateMembMine	1	-1
(religion YsgolBrynAlyn None-AtrialHypertrophySite)	InfoRelaMine	1	-1
(genls BrianFlemming (FrequentPerformerFn Activism))	CateMembMine	0	-1
(birthPlace ArthurFBurns Austria)	InfoRelaMine	1	-1
(genls BrianFlemming (SubcollectionOfWithRelationFromTypeFn Person boardMembers Organization))	FirsSentParsMine	0	-1
(objectFoundInLocation BankOfCreditAndCommerceInternational CityOfLondonEngland)	DBPediAligMine	0	0
(series Doom-TheGame Doom-Film)	InfoRelaMine	1	-1
(president ArthurFBurns DwightDEisenhower)	InfoRelaMine	0	0
(isa PeterPek GraphicArtist)	CateMembMine	1	-1
(isa Jackhammer Tool-PowerTool)	CateMembMine	1	-1
(isa NabilElderkin DirectorOfOrganization)	FirsSentParsMine	1	-1
(genls GaloisModule (CBLGroupFn (CBLMethodFn CBLNode-CycorpRefrigeratorMassEMailSending "cycorpRefrigeratorMassEmailSending_task") SymmetricBinaryPredicate))	FirsSentParsMine	1	-1
(isa Doom-TheGame Landmark)	FirsSentParsMine	0	0
(genls CodeOfVengeance EntertainmentPerformance)	CateMembMine	0	-1
(genls GordonACraig Historian)	CateMembMine	0	-1
(genls PeterPek Celebrity)	FirsSentParsMine	0	-1
(genls GaloisModule GaloisGroup)	FirsSentParsMine	0	1
(deathDate ArthurFBurns (DayOfYearFn June SymmetricBinaryPredicate))	InfoRelaMine	1	-1
(starring CodeOfVengeance CharlesTaylor-Liberia)	InfoRelaMine	1	-1
(genls NabilElderkin DirectorOfOrganization)	FirsSentParsMine	0	-1
(genls Jackhammer (MakingAvailableFn Tool))	FirsSentParsMine	0	-1
(birthPlace ArthurFBurns AustriaInTheEurovisionSongContest)	InfoRelaMine	1	-1
(isa NabilElderkin CroatianAustralian)	FirsSentParsMine	0	-1
(isa SalMaccarone Artist)	CateMembMine	1	0
(city YsgolBrynAlyn Wrexham-RegionWales)	InfoRelaMine	1	-1
(isa SalMaccarone UnitedStatesPerson)	FirsSentParsMine	1	-1
(isa MagicWand MagicInFiction)	CateMembMine	0	-1
(genre CodeOfVengeance ActionMovie)	DBPediAligMine	1	-1
(isa PeterPek Person)	CateMembMine	1	-1
(neuroLex:Property-3AIs_part_of VanNuysLosAngeles (CityNamedFn "California" Pennsylvania-State))	DBPediAligMine	1	-1
(birthPlace SalMaccarone LawrenceMassachusetts)	InfoRelaMine	1	1
(genls GaloisModule (CBLGroupFn (CBLMethodFn CBLNode-SystemAdministration "initiate_task") and))	FirsSentParsMine	1	-1
(genls PeterPek Person)	CateMembMine	0	-1
(genls GaloisModule TheoreticalConstruct)	CateMembMine	1	-1
(birthPlace PrincessJohannaOfHesseAndByRhine Hessen-StateGermany)	DBPediAligMine	1	-1
(religion YsgolBrynAlyn None-VeinHarvestTechnique)	InfoRelaMine	1	-1
(publisher Doom-TheGame BethesdaSoftworks)	DBPediAligMine	1	-1
(timeZone VanNuysLosAngeles PacificUSATimeZone)	DBPediAligMine	1	-1
(genls Tongue-twister NLPhrase)	FirsSentParsMine	0	0
(organizationalSuccessor ArthurFBurns RichardBurt)	InfoRelaMine	1	1
(upperAge YsgolBrynAlyn '11)	DBPediAligMine	1	-1
(genls GordonACraig Person)	CateMembMine	0	-1
(genls CodeOfVengeance TitleClassType)	FirsSentParsMine	0	-1
(deathPlace ArthurFBurns UnivOfMaryland)	InfoRelaMine	1	-1
(isa PeterPek BusinessPerson)	CateMembMine	1	1
(organizationalSuccessor ArthurFBurns RaymondJSaulnier)	InfoRelaMine	1	1
(genls SocialCriticism AbandoningSomething)	CateMembMine	1	-1
(isa MagicWand Baton-Musical)	FirsSentParsMine	0	-1
(genls PeterPek Publisher-Occupation)	CateMembMine	0	-1
(genls BrianFlemming Playwright)	FirsSentParsMine	0	-1
(isa SalMaccarone Sculptor)	FirsSentParsMine	1	-1
(industry BankOfCreditAndCommerceInternational Banking)	InfoRelaMine	1	-1
(areaWater RockwoodTennessee '258999.0)	DBPediAligMine	1	-1
(genls SocialCriticism Politics)	CateMembMine	1	-1
(birthDate PrincessJohannaOfHesseAndByRhine (DayFn '20 (MonthFn September (YearFn '1936))))	InfoRelaMine	1	-1
(isa GordonACraig UnitedStatesPerson)	CateMembMine	1	-1
(genls Jackhammer Tool-PowerTool)	CateMembMine	0	0
(genls SalMaccarone Author)	CateMembMine	0	-1
(isa PeterPek Management)	CateMembMine	0	-1
(genls NabilElderkin AustralianCitizenOrSubject)	CateMembMine	0	-1
(genls EthanolFermentation WorkingSomething-ProcessingEvent)	FirsSentParsMine	1	-1
(genls Ester (CitizenFn Germany))	CateMembMine	0	-1
(channel CodeOfVengeance NBC-TVNetwork)	InfoRelaMine	1	-1
(genls YsgolBrynAlyn HighSchool)	CateMembMine	0	-1
(isa ArthurFBurns (GroupFn AcademicProfessional))	CateMembMine	0	-1
(isa AirMass-Astronomy OpticalPathLength)	FirsSentParsMine	0	-1
(isa MagicWand Straight)	FirsSentParsMine	0	-1
(genls EthanolFermentation BiologicalProcess)	FirsSentParsMine	1	1
(birthPlace SalMaccarone (CountyNamedFn "Lawrence" Illinois-State))	InfoRelaMine	1	-1
(isa Jackhammer Tool)	FirsSentParsMine	1	-1
(isa CodeOfVengeance Series-Stratigraphy)	CateMembMine	0	-1
(genls ArthurFBurns Graduate)	CateMembMine	0	-1
(genls ArthurFBurns Chairman)	CateMembMine	0	-1
(genls EthanolFermentation ComputerProcessRunning)	FirsSentParsMine	0	-1
(country YsgolBrynAlyn (TerritoryFn Wales))	InfoRelaMine	1	-1
(genls MagicWand RunicMagic)	CateMembMine	0	-1
(organizationalSuccessor ArthurFBurns GWilliamMiller)	InfoRelaMine	1	1
(isa BankOfCreditAndCommerceInternational CorporateBond-Agreement)	CateMembMine	0	-1
(isa SalMaccarone AudioSpeaker)	FirsSentParsMine	0	-1
(numberOfStudents YsgolBrynAlyn '800)	DBPediAligMine	1	-1
(genls SocialCriticism ReverseDiscrimination)	CateMembMine	1	-1
(genls BankOfCreditAndCommerceInternational Scandal)	CateMembMine	0	-1
(birthPlace SalMaccarone (CountyNamedFn "Lawrence" Indiana-State))	InfoRelaMine	1	-1
(isa VanNuysLosAngeles Place)	CateMembMine	1	-1
(nextEvent Armageddon-2007 Armageddon-TheMovie)	InfoRelaMine	1	-1
(nextEvent Armageddon-2007 Armageddon)	InfoRelaMine	1	-1
(birthPlace SalMaccarone (CountyNamedFn "Lawrence" Arkansas-State))	InfoRelaMine	1	-1
(isa YsgolBrynAlyn School-AcademicOrganization)	CateMembMine	1	-1
(isa NabilElderkin Photographer)	CateMembMine	1	-1
(genls NabilElderkin VideoConceptualWork)	FirsSentParsMine	0	-1
(isa GordonACraig (GroupFn AcademicProfessional))	CateMembMine	0	1
(isa Asteroid-impactAvoidance ProtectingSomething)	FirsSentParsMine	0	-1
(isa Jackhammer CuttingSomething)	CateMembMine	0	-1
(genls GaloisModule G-MusicalNote)	FirsSentParsMine	1	-1
(writer Doom-TheGame TomHall)	DBPediAligMine	1	-1
(genls ArthurFBurns Economist)	CateMembMine	0	-1
(elevation VanNuysLosAngeles '217.018)	DBPediAligMine	1	-1
(nextEvent Armageddon-2007 RoyalRumble-2008)	InfoRelaMine	1	-1
(country YsgolBrynAlyn (TerritoryFn (CityNamedFn "Wales" Alaska-State)))	InfoRelaMine	1	-1
(genls NabilElderkin Director-Movie)	FirsSentParsMine	0	-1
(genls EthanolFermentation ProcessingEvent)	FirsSentParsMine	1	-1
(genls CodeOfVengeance Series-Stratigraphy)	CateMembMine	0	-1
(religion YsgolBrynAlyn NoAilment)	InfoRelaMine	1	-1
(isa Doom-TheGame SpoiltVote)	CateMembMine	0	-1
(city Armageddon-2007 CityOfPittsburghPA)	InfoRelaMine	1	-1
(isa GordonACraig MilitaryPerson)	CateMembMine	1	-1
(isa SocialCriticism Discrimination)	CateMembMine	0	-1
(city YsgolBrynAlyn Wrexham-UKParliamentConstituency)	InfoRelaMine	1	-1
(isa PrincessJohannaOfHesseAndByRhine Person)	null	1	-1
(event Armageddon-2007 Armageddon)	InfoRelaMine	1	-1
(isa CodeOfVengeance Title)	FirsSentParsMine	0	-1
(isa CodeOfVengeance Debut)	CateMembMine	0	-1
